name,type,start_time,duration,"data"
"TX","data",1.72720982,8.246e-05,0x6F
"TX","data",1.72729662,8.246e-05,0x6E
"TX","data",1.72738342,8.246e-05,0x20
"TX","data",1.72747022,8.246e-05,0x61
"TX","data",1.727557,8.246e-05,0x6E
"TX","data",1.7276438,8.246e-05,0x78
"TX","data",1.7277306,8.246e-05,0x37
"TX","data",1.7278174,8.246e-05,0x36
"TX","data",1.7279042,8.246e-05,0x32
"TX","data",1.727991,8.246e-05,0x35
"TX","data",1.7280778,8.246e-05,0x20
"TX","data",1.7281646,8.246e-05,0x73
"TX","data",1.7282514,8.246e-05,0x75
"TX","data",1.7283382,8.246e-05,0x63
"TX","data",1.728425,8.246e-05,0x63
"TX","data",1.7285118,8.246e-05,0x65
"TX","data",1.7285986,8.246e-05,0x73
"TX","data",1.7286854,8.246e-05,0x73
"TX","data",1.7287722,8.246e-05,0x66
"TX","data",1.728859,8.246e-05,0x75
"TX","data",1.7289458,8.246e-05,0x6C
"TX","data",1.7290326,8.246e-05,0x6C
"TX","data",1.7291194,8.246e-05,0x2E
"TX","data",1.7292062,8.246e-05,0x0D
"TX","data",1.729293,8.246e-05,0x0A
"TX","data",1.93182562,8.246e-05,0x61
"TX","data",1.93191242,8.246e-05,0x6E
"TX","data",1.93199922,8.246e-05,0x78
"TX","data",1.93208602,8.246e-05,0x37
"TX","data",1.93217282,8.246e-05,0x36
"TX","data",1.93225962,8.246e-05,0x32
"TX","data",1.93234642,8.246e-05,0x35
"TX","data",1.93243322,8.246e-05,0x5F
"TX","data",1.93252002,8.246e-05,0x72
"TX","data",1.93260682,8.246e-05,0x65
"TX","data",1.93269362,8.246e-05,0x61
"TX","data",1.93278042,8.246e-05,0x64
"TX","data",1.93286722,8.246e-05,0x5F
"TX","data",1.93295402,8.246e-05,0x73
"TX","data",1.93304082,8.246e-05,0x79
"TX","data",1.93312762,8.246e-05,0x73
"TX","data",1.93321442,8.246e-05,0x74
"TX","data",1.93330122,8.246e-05,0x65
"TX","data",1.93338802,8.246e-05,0x6D
"TX","data",1.93347482,8.246e-05,0x5F
"TX","data",1.93356162,8.246e-05,0x73
"TX","data",1.93364842,8.246e-05,0x74
"TX","data",1.93373522,8.246e-05,0x61
"TX","data",1.93382202,8.246e-05,0x74
"TX","data",1.93390882,8.246e-05,0x75
"TX","data",1.93399562,8.246e-05,0x73
"TX","data",1.93408242,8.246e-05,0x3A
"TX","data",1.93416922,8.246e-05,0x20
"TX","data",1.93425602,8.246e-05,0x61
"TX","data",1.93434282,8.246e-05,0x6E
"TX","data",1.93442962,8.246e-05,0x78
"TX","data",1.93451642,8.246e-05,0x3A
"TX","data",1.93460322,8.246e-05,0x20
"TX","data",1.93469,8.246e-05,0x2D
"TX","data",1.93477682,8.246e-05,0x20
"TX","data",1.9348636,8.246e-05,0x56
"TX","data",1.9349504,8.246e-05,0x43
"TX","data",1.9350372,8.246e-05,0x4F
"TX","data",1.935124,8.246e-05,0x4E
"TX","data",1.9352108,8.246e-05,0x4E
"TX","data",1.9352976,8.246e-05,0x20
"TX","data",1.9353844,8.246e-05,0x73
"TX","data",1.9354712,8.246e-05,0x74
"TX","data",1.935558,8.246e-05,0x61
"TX","data",1.9356448,8.246e-05,0x74
"TX","data",1.9357316,8.246e-05,0x75
"TX","data",1.9358184,8.246e-05,0x73
"TX","data",1.9359052,8.246e-05,0x20
"TX","data",1.935992,8.246e-05,0x4F
"TX","data",1.9360788,8.246e-05,0x4E
"TX","data",1.9361656,8.246e-05,0x0D
"TX","data",1.9362524,8.246e-05,0x0A
"TX","data",1.9363392,8.246e-05,0x61
"TX","data",1.936426,8.246e-05,0x6E
"TX","data",1.9365128,8.246e-05,0x78
"TX","data",1.9365996,8.246e-05,0x37
"TX","data",1.9366864,8.246e-05,0x36
"TX","data",1.9367732,8.246e-05,0x32
"TX","data",1.93686,8.246e-05,0x35
"TX","data",1.9369468,8.246e-05,0x5F
"TX","data",1.9370336,8.246e-05,0x72
"TX","data",1.9371204,8.246e-05,0x65
"TX","data",1.9372072,8.246e-05,0x61
"TX","data",1.937294,8.246e-05,0x64
"TX","data",1.9373808,8.246e-05,0x5F
"TX","data",1.9374676,8.246e-05,0x73
"TX","data",1.9375544,8.246e-05,0x79
"TX","data",1.9376412,8.246e-05,0x73
"TX","data",1.937728,8.246e-05,0x74
"TX","data",1.9378148,8.246e-05,0x65
"TX","data",1.9379016,8.246e-05,0x6D
"TX","data",1.9379884,8.246e-05,0x5F
"TX","data",1.9380752,8.246e-05,0x73
"TX","data",1.93816198,8.246e-05,0x74
"TX","data",1.9382488,8.246e-05,0x61
"TX","data",1.93833558,8.246e-05,0x74
"TX","data",1.93842238,8.246e-05,0x75
